[2025-02-09 20:38:25,380] ERROR in test_db_connection: 数据库连接失败: 'Session' object is not callable
[2025-02-09 20:55:04,492] ERROR in test_db_connection: 数据库连接失败: 'Session' object is not callable
[2025-02-09 21:55:36,108] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-09 21:55:36,108] INFO in main: 应用启动成功
[2025-02-09 21:56:07,687] INFO in response: 请求处理完成 - 路径: / 方法: GET 处理时间: 0.00s
[2025-02-09 21:56:11,510] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-09 21:56:11,740] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-09 21:58:00,728] ERROR in auth_service: 创建用户异常: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-09 21:58:00,728] ERROR in session: 数据库会话异常: 500: 500: 创建用户失败
[2025-02-09 21:58:00,739] INFO in response: 请求处理完成 - 路径: /api/v1/auth/register 方法: POST 处理时间: 0.35s
[2025-02-09 21:59:41,764] ERROR in department_service: 获取子部门失败: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Department(huaxinAdmin_departments)]'. Original exception was: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-09 21:59:41,771] ERROR in department_service: 获取部门树失败: 500: 获取子部门失败
[2025-02-09 21:59:41,772] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-09 21:59:41,772] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-09 21:59:41,777] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.02s
[2025-02-09 22:06:13,529] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-09 22:06:13,530] INFO in main: 应用启动成功
[2025-02-09 22:06:19,298] INFO in response: 请求处理完成 - 路径: / 方法: GET 处理时间: 0.00s
[2025-02-09 22:06:22,690] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-09 22:06:22,878] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-09 22:06:27,766] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-09 22:06:27,766] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-09 22:06:27,766] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-09 22:06:27,766] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-09 22:06:27,771] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.29s
[2025-02-09 22:07:06,926] INFO in main: 应用关闭
[2025-02-09 22:08:17,493] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-09 22:08:17,493] INFO in main: 应用启动成功
[2025-02-09 22:08:20,124] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-09 22:08:20,280] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.03s
[2025-02-09 22:08:22,593] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-09 22:08:22,593] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-09 22:08:22,593] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-09 22:08:22,593] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-09 22:08:22,593] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.25s
[2025-02-09 22:08:32,927] INFO in main: 应用关闭
[2025-02-09 22:12:51,274] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-09 22:12:51,274] INFO in main: 应用启动成功
[2025-02-09 22:12:55,906] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-09 22:12:56,047] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-09 22:13:00,696] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-09 22:13:00,698] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-09 22:13:00,698] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-09 22:13:00,698] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-09 22:13:00,698] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.31s
[2025-02-09 22:13:10,912] INFO in main: 应用关闭
[2025-02-10 10:52:52,277] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 10:52:52,277] INFO in main: 应用启动成功
